Event Desc|En No|Site Name|Licensee Name|Region No|City Name|State Cd|County Name|License No|Agreement State Ind|Docket No|Unit Ind1|Unit Ind2|Unit Ind3|Reactor Type|Nrc Notified By|Ops Officer|Notification Dt|Notification Time|Event Dt|Event Time|Time Zone|Last Updated Dt|Emergency Class|Cfr Cd1|Cfr Descr1|Cfr Cd2|Cfr Descr2|Cfr Cd3|Cfr Descr3|Cfr Cd4|Cfr Descr4|Staff Name1|Org Abbrev1|Staff Name2|Org Abbrev2|Staff Name3|Org Abbrev3|Staff Name4|Org Abbrev4|Staff Name5|Org Abbrev5|Staff Name6|Org Abbrev6|Staff Name7|Org Abbrev7|Staff Name8|Org Abbrev8|Staff Name9|Org Abbrev9|Staff Name10|Org Abbrev10|Scram Code 1|RX CRIT 1|Initial PWR 1|Initial RX Mode1|Current PWR 1|Current RX Mode 1|Scram Code 2|RX CRIT 2|Initial PWR 2|Initial RX Mode 2|Current PWR 2|Current RX Mode 2|Scram Code 3|RX CRIT 3|Initial PWR 3|Initial RX Mode 3|Current PWR 3|Current RX Mode 3|Event Text|
Agreement State|53996|GEORGIA RADIOACTIVE MATERIAL PGM|PIEDMONT HOSPITAL|1|ATLANTA|GA||GA 292-1|Y||||||IRENE BENNETT|CATY NOLAN|04/12/2019|13:21:00|04/03/2019|0:00:00|EDT|4/30/2020 12:00:00 AM|Non Emergency| |Agreement State|||||||ANNE DeFRANCISCO|R1DO|NMSS_EVENTS_NOTIFICATION|EMAIL|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - UNDERDOSE ADMINISTRATION OF Y-90 THERASPHERES    The following is a synopsis of the information received from the Radioactive Materials Program of Georgia received via email:    On April 3, 2019, an underdose of Y-90 TheraSpheres was administered to a patient. Only 65% of the prescribed dose was administered. On April 5, 2019, the remainder of the prescribed dose was delivered to the patient.    There is no definitive cause identified at this time but the licensee has concluded that it was probably a delivery equipment problem (perhaps with the tubing).    The licensee will follow-up with a formal report.    * * * UPDATE FROM IRENE BENNETT TO HOWIE CROUCH (VIA EMAIL) ON 4/29/20 AT 1553 EDT * * *    The state of Georgia amended the original report to state that the deliver apparatus is awaiting decay to background and will be examined locally or will be sent to the manufacturer for a root cause analysis.    The prescribed dose was 127 Gy. The delivered dose was 59.8 Gy which is 47% of prescribed dose. As stated above, the patient was informed and returned two days later to complete the treatment.    NMED Item: 190182    Notified R1DO (Schroeder) and NMSS Events Notification (email).    * * * UPDATE FROM IRENE BENNETT TO HOWIE CROUCH (VIA EMAIL) ON 4/30/20 AT 1323 EDT * * *     The state of Georgia has amended the original report and the update from 4/29/20 as follows:  -the prescribed dose was 122 Gy  -the delivered dose was 78.8 Gy  -the difference is 64.5 percent.    This same event was also reported under NRC Event Notification #54010 which has been deleted from the report database.    Notified R1DO (Schroeder) and NMSS Events Notification (email).    A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.|
Agreement State|54110|GEORGIA RADIOACTIVE MATERIAL PGM|PIEDMONT HOSPITAL|1|ATLANTA|GA||GA 292-1|Y||||||IRVIN GIBSON|JEFF HERRERA|06/11/2019|18:07:00|06/11/2019|0:00:00|EDT|4/30/2020 12:00:00 AM|Non Emergency| |Agreement State|||||||JOHN CHERUBINI|R1DO|NMSS_EVENTS_NOTIFICATION|EMAIL|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - PATIENT UNDER DOSAGE DUE TO AIR BEING TRAPPED IN THE DELIVERY LINE    The following report was received from the Georgia Department of Natural Resources via email:    "A TheraSphere Y-90 patient did not receive the full dose to the target organ that was prescribed. The administered dose differed from the prescribed dose by more than 20 [percent].    "The prescribed activity to be delivered to the patient was 2.15 GBq (58 mCi).  The calculated delivered activity to the patient was 1.01 GBq (27.3 mCi).  The delivered activity was determined by comparing pre-and post-administration survey meter measurements of the administration equipment, as per standard TheraSphere procedure.    "Radiological Analysis:  Prescribed dose to target volume (liver): 127 Gy  Administered dose to target volume (liver): 59.8 Gy    "Discussion and Outcome:  On May 28, 2019, it was brought to the radiation safety officer's attention that a Y-90 TheraSphere administration had not delivered the full prescribed activity to the patient as intended.  Upon further discussion it was noted that the performing physician noticed after connection of the line between the micro-catheter and the delivery vial that multiple air bubbles had become trapped in the line.  He then created a closed system manifold using a three-way stopcock and syringes to effectively bleed out air bubbles and flush back as much of the dose as possible to the patient.  The closed system prevented any spillage or contamination, and residual dose was retained in the syringes and stopcocks.  Despite these actions taken by the physician, a post-administration assay of the waste container showed that the full desired activity had not made it out of the delivery equipment and into the patient.  The procedure was a segmentectomy, and [the] patient will be re-evaluated in one month's time to determine if an additional therapeutic administration will be needed.    "Root Cause:  Human error:  Air was likely trapped somewhere in the system during the initial setup of the equipment.  Operator technique failed to completely purge the lines of this air.  Air bubbles in the line were not visible or not noticed prior to the connection of the line.  Efforts to eliminate the air and deliver the full dose to the patient were then not successful.    "Corrective Actions and Actions to Prevent Further Occurrences:  The nature of this event and the likely cause has been discussed with all staff involved in these procedures.    "A refresher training session has been scheduled for staff involved in these procedures.  This training will be provided by a representative from BTG/TheraSphere starting on June 10, 2019.    "An additional step will be added to the procedure to visually and verbally confirm that there is no detectable air in the line between the micro-catheter and the dose vial prior to connection."    * * * UPDATE FROM IRENE BENNETT TO HOWIE CROUCH (VIA EMAIL) ON 4/30/20 AT 1323 * * *     The NMED report number from the original report was removed. The new NMED report number was not obtained. NRC Event number 54684 was also created for this event and was deleted from the database.    Notified R1DO (Schroeder) and NMSS Event Notification (email).    A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.|
Agreement State|54602|COLORADO DEPT OF HEALTH|FUNKY BUDDHA LOUNGE|4|DENVER|CO||GL000883|Y||||||KATHRYN MOTE|JEFFREY WHITED|03/24/2020|9:11:00|11/30/2017|0:00:00|MDT|3/24/2020 12:00:00 AM|NON EMERGENCY| |AGREEMENT STATE|||||||RAY KELLAR|R4DO|NMSS_EVENTS_NOTIFICATION|EMAIL|ILTAB|EMAIL|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - LOST TRITIUM EXIT SIGNS    The following summary was received from the state of Colorado via email:    Three tritium exit signs, containing 11.5 Ci each, were determined lost. They were apparently removed during a renovation in 2002.    THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL    Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf|
Agreement State|54604|COLORADO DEPT OF HEALTH|JBZ LLC / PHYSICAL THERAPY|4|DENVER|CO||GL001127|Y||||||KATHRYN MOTE|KERBY SCALES|03/24/2020|16:31:00|06/19/2019|0:00:00|MDT|3/24/2020 12:00:00 AM|NON EMERGENCY| |AGREEMENT STATE|||||||RAY KELLAR|R4DO|NMSS_EVENTS_NOTIFICATION|EMAIL|ILTAB|EMAIL|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - LOST TRITIUM EXIT SIGN    The following summary was received from the state of Colorado via email:    The State is reporting one lost tritium exit sign, containing 9.21 Ci.  The sign was confirmed lost during a walkdown for annual registration.    THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL    Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf|
Agreement State|54606|COLORADO DEPT OF HEALTH|SOUTH PLATTE WATER RENEWAL PARTNERS|4|ENGLEWOOD|CO||GL001320|Y||||||KATHRYN MOTE|BETHANY CECERE|03/24/2020|17:25:00|06/21/2019|0:00:00|MDT|3/24/2020 12:00:00 AM|NON EMERGENCY| |AGREEMENT STATE|||||||RAY KELLAR|R4DO|NMSS_EVENTS_NOTIFICATION|EMAIL|ILTAB|EMAIL|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - LOST TRITIUM EXIT SIGNS    The following summary was received from the state of Colorado via email:    The State is reporting four (4) lost tritium exit signs, containing 10 Ci each.  The signs were not accounted for during annual registration.  The licensee stated that the signs were never installed in the facility.    THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL    Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf|
Agreement State|54608|PA DEPT OF ENVIRONMENTAL PROTECTION|ISOLITE CORPORATION|1|BERWYN|PA||PA-1371A|Y||||||JOHN CHIPPO|KERBY SCALES|03/25/2020|11:58:00|03/13/2020|0:00:00|EDT|3/25/2020 12:00:00 AM|NON EMERGENCY| |AGREEMENT STATE|||||||CHRISTOPHER CAHILL|R1DO|NMSS_EVENTS_NOTIFICATION|EMAIL|ILTAB|EMAIL|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - LOST TRITIUM EXIT SIGNS    The following was received from the Commonwealth of Pennsylvania via email:    "The [Pennsylvania] Department [of Environmental Protection] received notification from a licensee on March 23, 2020 of the loss or theft of four tritium exit signs during shipment from the manufacturer/distributor in Canada to distributer/installer in [Winter Haven,] Florida.  The tritium exit signs are model number 880-20-1-BK-BA-MB, 12.57 Curies each for a total of 50.28 Curies.  The serial numbers are: H135434, H135435, H135436, H135437.  The shipper believes the package was delivered on December 5, 2019, but the Florida installer didn't determine the material to be lost until March 13, 2020.  An investigation with [the common carrier] has already begun to find the package.  The [Department] will update this event as soon as more information is provided.    "The Department will perform a reactive inspection as soon as possible."    PA Event Report ID No: PA200006    THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL    Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf|
Agreement State|54609|COLORADO DEPT OF HEALTH|ABRA AUTO BODY & GLASS|4|LITTLETON|CO||GL001409|Y||||||KATHRYN MOTE|KERBY SCALES|03/25/2020|12:22:00|12/30/2018|0:00:00|MDT|3/25/2020 12:00:00 AM|NON EMERGENCY| |AGREEMENT STATE|||||||RAY KELLAR|R4DO|NMSS_EVENTS_NOTIFICATION|EMAIL|ILTAB|EMAIL|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - LOST STATIC ELIMINATOR    The following was received from the state of Colorado via email.    "One polonium-210 static eliminator, containing 0.01 Ci, was determined lost.  [The] current owner believes [the] static eliminator belonged to [the] previous owner.    "Initial date reported:  12/30/18    "Final Decision Material Lost Date:  12/30/18"    THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL    Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf|
Agreement State|54610|COLORADO DEPT OF HEALTH|TOWN OF MEAD|4|MEAD|CO||GL001806|Y||||||KATHRYN MOTE|KERBY SCALES|03/25/2020|15:00:00|02/13/2020|0:00:00|MDT|3/25/2020 12:00:00 AM|NON EMERGENCY| |AGREEMENT STATE|||||||RAY KELLAR|R4DO|NMSS_EVENTS_NOTIFICATION|EMAIL|ILTAB|EMAIL|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - LOST TRITIUM EXIT SIGN    The following was received from the state of Colorado via email.    "One tritium exit sign, containing 11.50 Ci, was determined lost.  [The] tenant claims the exit sign was never delivered or installed.    "Initial date reported:  2/13/20    "Final Decision Material Lost Date:  2/13/20"    THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL    Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf|
Non-Agreement State|54613|ALT & WITZIG ENGINEERING|ALT & WITZIG ENGINEERING|3|INDIANAPOLIS|IN||13-18685-02|N||||||MARK HERBER|BRIAN LIN|03/26/2020|10:00:00|03/26/2020|0:00:00|EDT|3/26/2020 12:00:00 AM|NON EMERGENCY|20.2201(a)(1)(ii)|LOST/STOLEN LNM>10X|||||||JOHN HANNA|R3DO|NMSS_EVENTS_NOTIFICATION|EMAIL|ILTAB|EMAIL|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||LOST AND FOUND DENSITY GAUGE    On 3/26/2020, at 0730 CDT, a CPN density gauge (Model CPN Corp MC1-DR, S/N 60103007; 10 milliCuries of Cesium-137 and 50 mCi of Americium-241 source) was reported stolen out of a technician's vehicle and was recovered. The licensee notified the Indianapolis Police Department and the density gauge was recovered when a bystander found the case abandoned on the street. The licensee inspected and surveyed the properly secured density gauge and observed no damage or leakage. The licensee states there was no radiological impact to the public.    THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL    Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf|
Agreement State|54615|COLORADO DEPT OF HEALTH|COLORADO DEPARTMENT OF HUMAN SERVICES|4|PUEBLO|CO||GL002131|Y||||||KATHRYN MOTE|BRIAN LIN|03/26/2020|10:13:00|06/29/2018|0:00:00|MDT|3/26/2020 12:00:00 AM|NON EMERGENCY| |AGREEMENT STATE|||||||RAY KELLAR|R4DO|NMSS_EVENTS_NOTIFICATION|EMAIL|ILTAB|EMAIL|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - LOST TRITIUM EXIT SIGNS    The following was received from the state of Colorado via email:    "Two tritium exit signs, containing 11.4 Curies each was determined lost.    "Initial Date Reported: 6/29/18    "Final Decision Material Lost Date: 6/29/18"      THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL    Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_we|
